Field,File,Line,Method,Receiver,Operation,Context,Evidence
"Height","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","109","ParseLine","note","WRITE","model / pure transform (receiver type requires method context)","note.Height = Clamp(number,"
"DisplayId","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","170","ParseLine","note","WRITE","model / pure transform (receiver type requires method context)","note.DisplayId = Decode(fields[27]);"
"LocalLogicalX","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","172","ParseLine","note","WRITE","model / pure transform (receiver type requires method context)","note.LocalLogicalX = number;"
"LocalLogicalY","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","174","ParseLine","note","WRITE","model / pure transform (receiver type requires method context)","note.LocalLogicalY = number;"
"LocalLogicalWidth","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","176","ParseLine","note","WRITE","model / pure transform (receiver type requires method context)","note.LocalLogicalWidth = number;"
"LocalLogicalHeight","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","178","ParseLine","note","WRITE","model / pure transform (receiver type requires method context)","note.LocalLogicalHeight = number;"
"PreferredDisplayTargetKey","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","182","ParseLine","note","WRITE","model / pure transform (receiver type requires method context)","note.PreferredDisplayTargetKey = Decode(fields[32]);"
"PreferredLocalLogicalX","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","184","ParseLine","note","WRITE","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalX = number;"
"PreferredLocalLogicalY","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","186","ParseLine","note","WRITE","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalY = number;"
"PreferredLocalLogicalWidth","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","188","ParseLine","note","WRITE","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalWidth = number;"
"PreferredLocalLogicalHeight","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","190","ParseLine","note","WRITE","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalHeight = number;"
"Width","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","233","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","int width = Clamp(note.Width,"
"Height","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","236","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","int height = Clamp(note.Height,"
"Width","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","244","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","if (note.Width != width) { note.Width = width; changed = true; }"
"Width","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","244","RepairForDisplay","note","WRITE","model / pure transform (receiver type requires method context)","if (note.Width != width) { note.Width = width; changed = true; }"
"Height","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","245","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","if (note.Height != height) { note.Height = height; changed = true; }"
"Height","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","245","RepairForDisplay","note","WRITE","model / pure transform (receiver type requires method context)","if (note.Height != height) { note.Height = height; changed = true; }"
"DisplayId","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","256","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","if (String.IsNullOrWhiteSpace(note.DisplayId))"
"LocalLogicalX","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","258","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","if (note.LocalLogicalX != 0 || note.LocalLogicalY != 0 ||"
"LocalLogicalY","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","258","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","if (note.LocalLogicalX != 0 || note.LocalLogicalY != 0 ||"
"LocalLogicalWidth","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","259","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","note.LocalLogicalWidth != 0 ||"
"LocalLogicalHeight","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","260","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","note.LocalLogicalHeight != 0)"
"LocalLogicalX","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","262","RepairForDisplay","note","WRITE","model / pure transform (receiver type requires method context)","note.LocalLogicalX = 0;"
"LocalLogicalY","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","263","RepairForDisplay","note","WRITE","model / pure transform (receiver type requires method context)","note.LocalLogicalY = 0;"
"LocalLogicalWidth","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","264","RepairForDisplay","note","WRITE","model / pure transform (receiver type requires method context)","note.LocalLogicalWidth = 0;"
"LocalLogicalHeight","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","265","RepairForDisplay","note","WRITE","model / pure transform (receiver type requires method context)","note.LocalLogicalHeight = 0;"
"LocalLogicalWidth","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","272","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","Math.Min(note.LocalLogicalWidth,"
"LocalLogicalHeight","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","275","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","Math.Min(note.LocalLogicalHeight,"
"LocalLogicalWidth","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","277","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","if (note.LocalLogicalWidth != localWidth)"
"LocalLogicalWidth","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","279","RepairForDisplay","note","WRITE","model / pure transform (receiver type requires method context)","note.LocalLogicalWidth = localWidth;"
"LocalLogicalHeight","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","282","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","if (note.LocalLogicalHeight != localHeight)"
"LocalLogicalHeight","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","284","RepairForDisplay","note","WRITE","model / pure transform (receiver type requires method context)","note.LocalLogicalHeight = localHeight;"
"PreferredDisplayTargetKey","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","292","RepairForDisplay","note","WRITE","model / pure transform (receiver type requires method context)","note.PreferredDisplayTargetKey ="
"PreferredDisplayTargetKey","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","293","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","(note.PreferredDisplayTargetKey ?? String.Empty).Trim();"
"PreferredDisplayTargetKey","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","294","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","if (note.PreferredDisplayTargetKey.Length >"
"PreferredDisplayTargetKey","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","297","RepairForDisplay","note","WRITE","model / pure transform (receiver type requires method context)","note.PreferredDisplayTargetKey = String.Empty;"
"PreferredDisplayTargetKey","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","300","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","if (String.IsNullOrWhiteSpace(note.PreferredDisplayTargetKey))"
"PreferredLocalLogicalX","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","302","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","if (note.PreferredLocalLogicalX != 0 ||"
"PreferredLocalLogicalY","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","303","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalY != 0 ||"
"PreferredLocalLogicalWidth","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","304","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalWidth != 0 ||"
"PreferredLocalLogicalHeight","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","305","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalHeight != 0)"
"PreferredLocalLogicalX","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","307","RepairForDisplay","note","WRITE","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalX = 0;"
"PreferredLocalLogicalY","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","308","RepairForDisplay","note","WRITE","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalY = 0;"
"PreferredLocalLogicalWidth","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","309","RepairForDisplay","note","WRITE","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalWidth = 0;"
"PreferredLocalLogicalHeight","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","310","RepairForDisplay","note","WRITE","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalHeight = 0;"
"PreferredLocalLogicalWidth","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","314","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","else if (note.PreferredLocalLogicalWidth <= 0 ||"
"PreferredLocalLogicalHeight","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","315","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalHeight <= 0)"
"PreferredDisplayTargetKey","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","320","RepairForDisplay","note","WRITE","model / pure transform (receiver type requires method context)","note.PreferredDisplayTargetKey = String.Empty;"
"PreferredLocalLogicalX","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","321","RepairForDisplay","note","WRITE","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalX = 0;"
"PreferredLocalLogicalY","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","322","RepairForDisplay","note","WRITE","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalY = 0;"
"PreferredLocalLogicalWidth","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","323","RepairForDisplay","note","WRITE","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalWidth = 0;"
"PreferredLocalLogicalHeight","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","324","RepairForDisplay","note","WRITE","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalHeight = 0;"
"PreferredLocalLogicalWidth","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","330","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","Math.Min(note.PreferredLocalLogicalWidth,"
"PreferredLocalLogicalHeight","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","333","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","Math.Min(note.PreferredLocalLogicalHeight,"
"PreferredLocalLogicalWidth","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","335","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","if (note.PreferredLocalLogicalWidth != preferredWidth)"
"PreferredLocalLogicalWidth","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","337","RepairForDisplay","note","WRITE","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalWidth = preferredWidth;"
"PreferredLocalLogicalHeight","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","340","RepairForDisplay","note","READ","model / pure transform (receiver type requires method context)","if (note.PreferredLocalLogicalHeight != preferredHeight)"
"PreferredLocalLogicalHeight","desktop-pet/Core/StickyNotes/StickyNoteCodec.cs","342","RepairForDisplay","note","WRITE","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalHeight = preferredHeight;"
"Width","desktop-pet/Core/Display/DockPlacementPlanner.cs","155","PlanReproject","member","READ","other detached geometry; not automatically StickyNoteData","logicalWidth = Math.Max(logicalWidth, member.Width);"
"Height","desktop-pet/Core/Display/DockPlacementPlanner.cs","156","PlanReproject","member","READ","other detached geometry; not automatically StickyNoteData","logicalHeight += member.Height;"
"Width","desktop-pet/Core/Display/DockPlacementPlanner.cs","181","PlanReproject","source","READ","other detached geometry; not automatically StickyNoteData","Width = source.Width,"
"Height","desktop-pet/Core/Display/DockPlacementPlanner.cs","182","PlanReproject","source","READ","other detached geometry; not automatically StickyNoteData","Height = source.Height"
"Height","desktop-pet/Core/Display/DockPlacementPlanner.cs","237","Plan","member","READ","other detached geometry; not automatically StickyNoteData","long nextTop = (long)logicalTop + member.Height;"
"Width","desktop-pet/Core/Display/DockPlacementPlanner.cs","241","Plan","member","READ","other detached geometry; not automatically StickyNoteData","long logicalRight = (long)group.RootAnchor.X + member.Width;"
"DisplayId","desktop-pet/Core/Display/StickyPlacementMath.cs","44","ApplyTo","note","WRITE","other detached geometry; not automatically StickyNoteData","note.DisplayId = DisplayId;"
"LocalLogicalX","desktop-pet/Core/Display/StickyPlacementMath.cs","45","ApplyTo","note","WRITE","other detached geometry; not automatically StickyNoteData","note.LocalLogicalX = LocalX;"
"LocalLogicalY","desktop-pet/Core/Display/StickyPlacementMath.cs","46","ApplyTo","note","WRITE","other detached geometry; not automatically StickyNoteData","note.LocalLogicalY = LocalY;"
"LocalLogicalWidth","desktop-pet/Core/Display/StickyPlacementMath.cs","47","ApplyTo","note","WRITE","other detached geometry; not automatically StickyNoteData","note.LocalLogicalWidth = LocalWidth;"
"LocalLogicalHeight","desktop-pet/Core/Display/StickyPlacementMath.cs","48","ApplyTo","note","WRITE","other detached geometry; not automatically StickyNoteData","note.LocalLogicalHeight = LocalHeight;"
"X","desktop-pet/Core/Display/StickyPlacementMath.cs","49","ApplyTo","note","WRITE","other detached geometry; not automatically StickyNoteData","note.X = PhysicalLeft;"
"Y","desktop-pet/Core/Display/StickyPlacementMath.cs","50","ApplyTo","note","WRITE","other detached geometry; not automatically StickyNoteData","note.Y = PhysicalTop;"
"Width","desktop-pet/Core/Display/StickyPlacementMath.cs","51","ApplyTo","note","WRITE","other detached geometry; not automatically StickyNoteData","note.Width = PhysicalWidth;"
"Height","desktop-pet/Core/Display/StickyPlacementMath.cs","52","ApplyTo","note","WRITE","other detached geometry; not automatically StickyNoteData","note.Height = PhysicalHeight;"
"DisplayId","desktop-pet/Core/Display/StickyPlacementMath.cs","59","FromData","note","READ","other detached geometry; not automatically StickyNoteData","note.DisplayId ?? String.Empty,"
"LocalLogicalX","desktop-pet/Core/Display/StickyPlacementMath.cs","60","FromData","note","READ","other detached geometry; not automatically StickyNoteData","note.LocalLogicalX, note.LocalLogicalY,"
"LocalLogicalY","desktop-pet/Core/Display/StickyPlacementMath.cs","60","FromData","note","READ","other detached geometry; not automatically StickyNoteData","note.LocalLogicalX, note.LocalLogicalY,"
"LocalLogicalWidth","desktop-pet/Core/Display/StickyPlacementMath.cs","61","FromData","note","READ","other detached geometry; not automatically StickyNoteData","note.LocalLogicalWidth, note.LocalLogicalHeight,"
"LocalLogicalHeight","desktop-pet/Core/Display/StickyPlacementMath.cs","61","FromData","note","READ","other detached geometry; not automatically StickyNoteData","note.LocalLogicalWidth, note.LocalLogicalHeight,"
"X","desktop-pet/Core/Display/StickyPlacementMath.cs","62","FromData","note","READ","other detached geometry; not automatically StickyNoteData","note.X, note.Y, note.Width, note.Height);"
"Y","desktop-pet/Core/Display/StickyPlacementMath.cs","62","FromData","note","READ","other detached geometry; not automatically StickyNoteData","note.X, note.Y, note.Width, note.Height);"
"Width","desktop-pet/Core/Display/StickyPlacementMath.cs","62","FromData","note","READ","other detached geometry; not automatically StickyNoteData","note.X, note.Y, note.Width, note.Height);"
"Height","desktop-pet/Core/Display/StickyPlacementMath.cs","62","FromData","note","READ","other detached geometry; not automatically StickyNoteData","note.X, note.Y, note.Width, note.Height);"
"Width","desktop-pet/StartupLoadingForm.cs","74","UsesEmbeddedLoadingFrameForTest","source","READ","other detached geometry; not automatically StickyNoteData","double sourceAspect = (double)source.Width / source.Height;"
"Height","desktop-pet/StartupLoadingForm.cs","74","UsesEmbeddedLoadingFrameForTest","source","READ","other detached geometry; not automatically StickyNoteData","double sourceAspect = (double)source.Width / source.Height;"
"Width","desktop-pet/StartupLoadingForm.cs","129","CalculateImageBounds","source","READ","other detached geometry; not automatically StickyNoteData","double scale = Math.Min((double)canvas.Width / source.Width,"
"Height","desktop-pet/StartupLoadingForm.cs","130","CalculateImageBounds","source","READ","other detached geometry; not automatically StickyNoteData","(double)canvas.Height / source.Height);"
"Width","desktop-pet/StartupLoadingForm.cs","131","CalculateImageBounds","source","READ","other detached geometry; not automatically StickyNoteData","int width = Math.Max(1, (int)Math.Round(source.Width * scale));"
"Height","desktop-pet/StartupLoadingForm.cs","132","CalculateImageBounds","source","READ","other detached geometry; not automatically StickyNoteData","int height = Math.Max(1, (int)Math.Round(source.Height * scale));"
"X","desktop-pet/Features/StickyNotes/DockWindowFacts.cs","31","FromData","source","READ","other detached geometry; not automatically StickyNoteData","return new DockWindowFacts(source.Id, source.X, source.Y,"
"Y","desktop-pet/Features/StickyNotes/DockWindowFacts.cs","31","FromData","source","READ","other detached geometry; not automatically StickyNoteData","return new DockWindowFacts(source.Id, source.X, source.Y,"
"Width","desktop-pet/Features/StickyNotes/DockWindowFacts.cs","32","FromData","source","READ","other detached geometry; not automatically StickyNoteData","source.Width, source.Height, source.Visible,"
"Height","desktop-pet/Features/StickyNotes/DockWindowFacts.cs","32","FromData","source","READ","other detached geometry; not automatically StickyNoteData","source.Width, source.Height, source.Visible,"
"X","desktop-pet/Features/StickyNotes/DockWindowFacts.cs","40","FromSnapshot","source","READ","other detached geometry; not automatically StickyNoteData","return new DockWindowFacts(source.NoteId, source.X, source.Y,"
"Y","desktop-pet/Features/StickyNotes/DockWindowFacts.cs","40","FromSnapshot","source","READ","other detached geometry; not automatically StickyNoteData","return new DockWindowFacts(source.NoteId, source.X, source.Y,"
"Width","desktop-pet/Features/StickyNotes/DockWindowFacts.cs","41","FromSnapshot","source","READ","other detached geometry; not automatically StickyNoteData","source.Width, source.Height, source.Visible,"
"Height","desktop-pet/Features/StickyNotes/DockWindowFacts.cs","41","FromSnapshot","source","READ","other detached geometry; not automatically StickyNoteData","source.Width, source.Height, source.Visible,"
"X","desktop-pet/Features/StickyNotes/DockWindowFacts.cs","54","FromTarget","target","READ","other detached geometry; not automatically StickyNoteData","return new DockWindowFacts(target.NoteId, target.X, target.Y,"
"Y","desktop-pet/Features/StickyNotes/DockWindowFacts.cs","54","FromTarget","target","READ","other detached geometry; not automatically StickyNoteData","return new DockWindowFacts(target.NoteId, target.X, target.Y,"
"Width","desktop-pet/Features/StickyNotes/DockWindowFacts.cs","55","FromTarget","target","READ","other detached geometry; not automatically StickyNoteData","target.Width, target.Height, target.Visible, target.TopMost);"
"Height","desktop-pet/Features/StickyNotes/DockWindowFacts.cs","55","FromTarget","target","READ","other detached geometry; not automatically StickyNoteData","target.Width, target.Height, target.Visible, target.TopMost);"
"X","desktop-pet/Core/Settings/PetSettingsData.cs","67","CopyFrom","source","READ","other detached geometry; not automatically StickyNoteData","X = source.X;"
"Y","desktop-pet/Core/Settings/PetSettingsData.cs","68","CopyFrom","source","READ","other detached geometry; not automatically StickyNoteData","Y = source.Y;"
"PreferredDisplayTargetKey","desktop-pet/Core/StickyNotes/StickyPlacementRules.cs","50","MigrateV10Preferred","note","READ","model / pure transform (receiver type requires method context)","if (!String.IsNullOrWhiteSpace(note.PreferredDisplayTargetKey))"
"DisplayId","desktop-pet/Core/StickyNotes/StickyPlacementRules.cs","52","MigrateV10Preferred","note","READ","model / pure transform (receiver type requires method context)","if (String.IsNullOrWhiteSpace(note.DisplayId) ||"
"LocalLogicalWidth","desktop-pet/Core/StickyNotes/StickyPlacementRules.cs","53","MigrateV10Preferred","note","READ","model / pure transform (receiver type requires method context)","note.LocalLogicalWidth <= 0 ||"
"LocalLogicalHeight","desktop-pet/Core/StickyNotes/StickyPlacementRules.cs","54","MigrateV10Preferred","note","READ","model / pure transform (receiver type requires method context)","note.LocalLogicalHeight <= 0) return false;"
"DisplayId","desktop-pet/Core/StickyNotes/StickyPlacementRules.cs","56","MigrateV10Preferred","note","READ","model / pure transform (receiver type requires method context)","topology.FindByRuntimeGdiName(note.DisplayId);"
"PreferredDisplayTargetKey","desktop-pet/Core/StickyNotes/StickyPlacementRules.cs","61","MigrateV10Preferred","note","WRITE","model / pure transform (receiver type requires method context)","note.PreferredDisplayTargetKey = key;"
"LocalLogicalX","desktop-pet/Core/StickyNotes/StickyPlacementRules.cs","62","MigrateV10Preferred","note","READ","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalX = note.LocalLogicalX;"
"PreferredLocalLogicalX","desktop-pet/Core/StickyNotes/StickyPlacementRules.cs","62","MigrateV10Preferred","note","WRITE","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalX = note.LocalLogicalX;"
"LocalLogicalY","desktop-pet/Core/StickyNotes/StickyPlacementRules.cs","63","MigrateV10Preferred","note","READ","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalY = note.LocalLogicalY;"
"PreferredLocalLogicalY","desktop-pet/Core/StickyNotes/StickyPlacementRules.cs","63","MigrateV10Preferred","note","WRITE","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalY = note.LocalLogicalY;"
"LocalLogicalWidth","desktop-pet/Core/StickyNotes/StickyPlacementRules.cs","64","MigrateV10Preferred","note","READ","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalWidth = note.LocalLogicalWidth;"
"PreferredLocalLogicalWidth","desktop-pet/Core/StickyNotes/StickyPlacementRules.cs","64","MigrateV10Preferred","note","WRITE","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalWidth = note.LocalLogicalWidth;"
"LocalLogicalHeight","desktop-pet/Core/StickyNotes/StickyPlacementRules.cs","65","MigrateV10Preferred","note","READ","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalHeight = note.LocalLogicalHeight;"
"PreferredLocalLogicalHeight","desktop-pet/Core/StickyNotes/StickyPlacementRules.cs","65","MigrateV10Preferred","note","WRITE","model / pure transform (receiver type requires method context)","note.PreferredLocalLogicalHeight = note.LocalLogicalHeight;"
"Width","desktop-pet/Features/StickyNotes/StickyAppearanceCoordinator.cs","69","CalculateAppearanceDialogLocation","note","READ","other detached geometry; not automatically StickyNoteData","new DockRect(note.Left, note.Top, note.Width, note.Height),"
"Height","desktop-pet/Features/StickyNotes/StickyAppearanceCoordinator.cs","69","CalculateAppearanceDialogLocation","note","READ","other detached geometry; not automatically StickyNoteData","new DockRect(note.Left, note.Top, note.Width, note.Height),"
"Width","desktop-pet/Features/Art/PetArtFrameRenderer.cs","25","Render","source","READ","other detached geometry; not automatically StickyNoteData","double sx = (double)canvasWidth / Math.Max(1, source.Width);"
"Height","desktop-pet/Features/Art/PetArtFrameRenderer.cs","26","Render","source","READ","other detached geometry; not automatically StickyNoteData","double sy = (double)canvasHeight / Math.Max(1, source.Height);"
"Width","desktop-pet/Features/Art/PetArtFrameRenderer.cs","41","Render","source","READ","other detached geometry; not automatically StickyNoteData","int width = Math.Max(1, (int)Math.Round(source.Width * sx));"
"Height","desktop-pet/Features/Art/PetArtFrameRenderer.cs","42","Render","source","READ","other detached geometry; not automatically StickyNoteData","int height = Math.Max(1, (int)Math.Round(source.Height * sy));"
"Width","desktop-pet/Features/Art/PetArtFrameRenderer.cs","59","Render","source","READ","other detached geometry; not automatically StickyNoteData","new Rectangle(0, 0, source.Width, source.Height),"
"Height","desktop-pet/Features/Art/PetArtFrameRenderer.cs","59","Render","source","READ","other detached geometry; not automatically StickyNoteData","new Rectangle(0, 0, source.Width, source.Height),"
